Jefferson
Cesar; Julio
Victor
Alves; Dani
Dante
Luiz; David
Assou-Ekotto; Benot
Henrique
Maicon
Marcelo
Maxwell
Silva; Thiago (c)
Bernard
Fernandinho
Hernanes
Gustavo; Luiz
Oscar
Paulinho
Ramires
Willian
Fred
Hulk
J
Neymar
Itandje; Charles
Feudjou; Loec
Sammy N'Djock
Nyom; Allan
Chedjou; Aurelien
Djeugoue; Cedric
Nounkeu; Dany
Bedimo; Henri
N'Koulou; Nicolas
Song; Alex
Salli; Edgar
Enoh; Eyong
Makoun; Jean
Matip; Joel
N'Guemo; Landry
Mbia; Stephane
Moukandjo; Benjamin
Olinga; Fabrice
Choupo-Moting; Maxim
Webo; Pierre
Samuel Eto'o (c)
Aboubakar; Vincent
Subasic; Danijel
Zelenika; Oliver
Pletikosa; Stipe
Pranjic; Danijel
Srna; Darijo (c)
Lovren; Dejan
Vida; Domagoj
Schildenfeld; Gordon
Vrsaljko; Sime
Corluka; Vedran
Badelj; Milan
Perisic; Ivan
Rakitic; Ivan
Modric; Luka
Brozovic; Marcelo
Kovacic; Mateo
Vukojevic; Ognjen
Sammir
Rebic; Ante
Eduardo
Olic; Ivica
Mandzukic; Mario
Jelavic; Nikica
Talavera; Alfredo
Ochoa; Guillermo
de Jesus Corona; Jose
Guardado; Andres
Salcido; Carlos
Reyes; Diego
Javier Rodriguez; Francisco
Moreno; Hector
Angel Ponce; Miguel
Layun; Miguel
Aguilar; Paul
Marquez; Rafael (c)
Pena; Carlos
Herrera; Hector
Brizuela; Isaac
Aquino; Javier
Juan Vazquez; Jose
Fabian; Marco
Pulido; Alan
dos Santos; Giovani
Hernandez; Javier
Peralta; Oribe
Jimenez; Raul
Galekovic; Eugene
Ryan; Mathew
Langerak; Mitchell
Wilkinson; Alex
Wright; Bailey
Franjic; Ivan
Davidson; Jason
Spiranovic; Matthew
McGowan; Ryan
Halloran; Ben
Vidosic; Dario
Holland; James
Troisi; James
Bresciano; Mark
Milligan; Mark
Luongo; Massimo
McKay; Matt
Jedinak; Mile (c)
Bozanic; Oliver
Oar; Tommy
Taggart; Adam
Leckie; Mathew
Cahill; Tim
Bravo; Claudio (c)
Toselli; Cristopher
Herrera; Johnny
Mena; Eugenio
Medel; Gary
Jara; Gonzalo
Rojas; Jose
Albornoz; Miiko
Vidal; Arturo
Carmona; Carlos
Aranguiz; Charles
Orellana; Fabian
Gutierrez; Felipe
Silva; Francisco
Beausejour; Jean
Valdivia; Jorge
Pedro Fuenzalida; Jose
Diaz; Marcelo
Isla; Mauricio
Sanchez; Alexis
Vargas; Eduardo
Paredes; Esteban
