"Ravage 2099#24 (November, 1994)",
"Punisher 2099 AD #28 (May, 1995)",
"Punisher 2099#20 (September, 1994)",
"Fantastic Four I#37 (April, 1965)",
"Gambit III#1 (September, 1997)",
"Amazing Fantasy I#15 (August, 1962)",
"Iron Man I#117 (December, 1978)",
"Peter Parker, the Spectacular Spider-Man#104 (July, 1985)",
"Strange Tales I#47/4 (June, 1956)",
Marvel Super Heroes II#14 (May 1968),
"Captain Marvel I#16 (August, 1969)",
"X-Men I#31 (April, 1967)",
"Digitek#1 (December, 1992)",
"Amazing Spider-Man I#184 (September, 1978)",
"Daredevil II#20/2 (September, 2001)",
"Marvel Knights Spider-Man#2x` (July, 2004)",
"Spider-Man The Quality of Life#1 (July, 2002)",
"Uncanny X-Men#250 (Early October, 1989)",
"Defenders I#32 (February, 1976)",
Fantastic Four Annual#26 (1993),
Spider-Man Fear Itself Graphic Novel (1992),
"Daredevil II#58 (May, 2004)",
"Marvel Team-Up I#131 (July, 1983)",
"Uncanny X-Men#249 (Late September, 1989)",
"Amazing Spider-Man II#515 (February, 2005)",
"Deadly Hands of Kung Fu#19 (December, 1975)",
"(Weying) Amazing Spider-Man I#375 (March, 1993); (She-Venom) Venom Sinner Takes All#2 (September, 1995)",
Web of Spider-Man Annual#10 (1994) {Edizione Italiana L'Uomo Ragno#174 Marvel Italia (30 agosto 1995)},
"Amazing Fantasy I#15 (June, 1962); (identified) Amazing Spider-Man I#8",
Marvel Team-Up Annual#4 (1981),
"Defenders I#131 (May, 1984)",
"Amazing Spider-Man I#48 (May, 1968)",
"Spider-Man Family Featuring Spider-Man's Amazing Friends#1 (October, 2006)",
"Peter Parker Spider-Man I#82 (August, 1997)",
"Marvel Knights Spider-Man#6 (November, 2004)",
"Marvel Fanfare I#1 (March, 1982)",
"Peter Parker Spider-Man II #50 (January, 2003)",
"Amazing Fantasy I#16 (December, 1995)",
"Underworld#1 (April, 2006)",
"Ultragirl#1 (November, 1996)",
"Peter Parker Spider-Man II#23 (November, 2000)",
"Web of Spider-Man I#84 (January, 1992)",
"Amazing Spider-Man II#1 (January, 1999)",
"(Enchantress as Valkyrie) Avengers I#83 (December, 1970); (Samantha Parrington as Valkyrie) Incredible Hulk I#142 (August, 1971); (Barbara Norriss as Valkyrie) Defenders I#3 (December, 1973); (Brunnhilde back in true body) Defenders I#109 (September, 1982)",
"Marvel Team-Up I#100 (December, 1980)",
"Amazing Scarlet Spider#2 (December, 1995)",
Deathlok II Annual#2 (1993),
"(comic) Spidey Super Stories#12/2 (September, 1975); (television); Electric Company season 5 episode (1975-1976)",
Marvel Graphic Novel#22 Spider-Man Hooky (1986),
"Spider-Woman I#33 (December, 1980)",
"(As Gordon) Untold Tales of Spider-Man#12 (August, 1996); (as the Terrier) Untold Tales of Spider-Man#15 (November, 1996)",
