Annica Ackerman
Lorne Balfe
Chris Barrett
Becky Bentham
Simon Changer
Al Clay
Brad Dechter
Ramin Djawadi
Geoff Foster
Bruce Fowler
Gavin Greenaway
James Newton Howard
James Newton Howard
James Newton Howard
Joerg Huettner
Thomas Jesty
Gary Kettel
Alastair King
Tristan Lillingston
Bruce Maddocks
Abhay Manusmare
Lisa Margolis
Aaron Martin
Steve Price
Frank Ricotti
Richard Robson
Debi Streeter
Martin Tillman
Mel Wesson
Mark Wherry
Ian Wood
Gavyn Wright
Andrew Zack
Keith Zajic
Hans Zimmer
Hans Zimmer
Hans Zimmer
Ryeland Allison
Jeff Atmajian
Chris P. Bacon
Lorne Balfe
Lorne Balfe
Chris Barrett
Becky Bentham
Jeff Biggers
"Jeff ""Bucko"" Biggers"
Thomas Broderick
Simon Chamberlain
Marc Cimino
Paul Clarivs
Peter Davies
Brad Dechter
Matt Dunkley
Elizabeth Finch
Geoff Foster
Bruce Fowler
Bruce Fowler
Walt Fowler
Doug Frank
Alex Gibson
Alex Gibson
Steven R. Gilmore
Steven R. Gilmore
Mark Graham
Gavin Greenaway
Isobel Griffiths
James Newton Howard
James Newton Howard
James Newton Howard
James Newton Howard
Henry Jackman
Kevin Kaska
Randy Kerber
Gary Kettel
Steven Kofsky
Peter Lale
Gary LeMel
Michael Levine
Katja Lewin
Lisa Margolis
Charlotte Matthew
Alan Meyerson
Suzette Moriarty
Maurice Murphy
Christopher Nolan
Heitor Teixeira Pereira
Dan Pinder
Anthony Pleeth
Satnam Ramgotra
Frank Ricotti
Ryan Rubin
Czarina Russell
Howard Scarr
Mary Scully
Jacob Shea
Owen Slade
Pamela J. Sollie
Noah Sorota
Debi Streeter
Louie Teran
Martin Tillman
Greg Vines
Rosemary Warren Green
Rose Warren-Green
Richard Watkins
Mel Wesson
Andrew Zack
Keith Zajic
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Laurence Anslow
Lorne Balfe
Paul Broucek
Ann Marie Calhoun
Lori Castro
Chuck Choi
Paul Clavis
Ramin Djawadi
Matt Dunkley
Richard Edwards
Sam Estes
Tom Farnon
Elizabeth Finch
Geoff Foster
Bruce Fowler
Walt Fowler
Alex Gibson
Alex Gibson
Rick Giovinazzo
Gavin Greenaway
Isobel Griffiths
Michael Hobe
Tom Holkenborg
Thomas Jesty
Kevin Kaska
Andrew Kawczynski
Gary Kettel
Andrew Kinney
Jasha Klebe
Steven Kofsky
Daniel Kresco
Peter Lale
Jason Linn
Stephen Lipson
Stephen Lipson
Lisa Margolis
Charlotte Matthews
Steve Mazzaro
Alan Meyerson
Adam Miller
Perry Montague-Mason
Yvonne S. Moriarty
Ed Neumeister
Satoshi Noguchi
Christopher Nolan
Christopher Nolan
Anthony Pleeth
John Prestage
Frank Ricotti
Ryan Rubin
Czarina Russell
Carl Rydlund
Howard Scarr
Mary Scully
C.J. Sing
Owen Slade
Sandeep Sriram
Geoff Stradling
Jill Streater
Pat Sullivan
Martin Tillman
Richard Watkins
Christian Wenger
Mel Wesson
Mark Wherry
Booker White
Andrew Zack
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Bob Badami
Lorne Balfe
Lorne Balfe
Chris Barrett
Dudley Bright
Thomas Broderick
Nicholas Bucknall
Ann Marie Calhoun
Nick Delaplane
Geoff Foster
Geoff Foster
Bruce Fowler
Walt Fowler
Doug Frank
Gavin Greenaway
Isobel Griffiths
Tina Guo
Dirk Hebert
Aleksey Igudesman
Davey Johnstone
Kevin Kaska
Andrew Kawczynski
Steven Kofsky
Peter Lale
Katia Lewin
Jason Linn
Eliza Marshall
Charlotte Matthews
Adam Miller
Perry Montague-Mason
Suzette Moriarty
Maurice Murphy
Anthony Pleeth
Guy Ritchie
Noah Sarota
Mary Scully
Jacob Shea
Richard Skinner
Owen Slade
Peter Oso Snell
Sandeep Sriram
Dave Stewart
Diego Stocco
Patricia Sullivan
David Theodore
Unspecified
Richard Watkins
Mark Wherry
Andrew Zack
Keith Zajic
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Ryeland Allison
Peter Asher
Bob Badami
Bob Bernstein
Curt Bisquera
Jason Bonham
Paul Broucek
Belinda Broughton
Ann Marie Calhoun
Danny Carey
Matt Chamberlain
John Chapman
Chuck Choi
Vinnie Colaiuta
George Doering
Bernie Dresel
Skip Edwards
Bruce Fowler
Walley Fowler
Josh Freese
Peter Frieberger
Ross Garfield
Nick Glennie-Smith
Tauress Habib
Tom Hardisty
Darren Higman
Junkie XL
Junkie XL
Junkie XL
Kevin Kaska
Andrew Kawczynski
Jim Keltner
Steven Kofsky
Daniel Kresco
Nathaniel Kunkel
Tim Lauber
Trevor Lawrence Jr.
Jason Linn
Stephen Lipson
Stephen Lipson
J.D. Maness
Lisa Margolis
Eric Matthies
Steve Mazzaro
John McClung
Alan Meyerson
Alan Meyerson
Yvonne S. Moriarty
Melissa Muik
Peter Nelson
Christopher Nolan
Eric Norris
Jamie Olvera
Michael Osment
Toss Panos
Dan Pinder
Satnam Ramgotra
Marty Rifkin
Ben Robinson
John Jr. Robinson
Ryan Robinson
Stacey Robinson
Jessica Rotter
Peter Rotter
Charles Roven
Czarina Russell
Czarina Russell
Carl Rydlund
Howard Scarr
Rick Schmidt
Nevin Seus
Sheila E.
Christine Sirois
Lee Sklar
Chas Smith
Chas Smith
Deborah Snyder
Zack Snyder
Sandeep Sriram
Sandeep Sriram
Denis St. Amand
Tom Steel
The Stradivarius
Emma Thomas
Martin Tillman
Yvonne Tran-Macdonald
Raul Vega
Tommy Vicari
Christian Wenger
Mel Wesson
Richard Wheeler Jr.
Brian Wherry
Mark Wherry
Booker White
Pharrell Williams
Megan Wintory
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Zo?? Zimmerman
Paul Altomari
Julie Andrews
Tom Arndt
Bob Badami
Lorne Balfe
Chris Barrett
Pat Barry
Becky Bentham
Thomas Bowes
Tom Bowes
Thomas Broderick
Nicholas Bucknail
Nicholas Bucknall
John Calley
Simon Changer
Paul Clarvis
Al Clay
Big Al Clay
Delores Clay
Leif Covington
Frank Famularo
Geoff Foster
Fretwork
Meredith Friedman
Nick Glennie-Smith
Nick Glennie-Smith
Brian Grazer
Isobel Griffiths
Richard Harvey
Richard Harvey
Bart Hendrickson
Ron Howard
Ron Howard
Henry Jackman
Jake Jackson
Skaila Kanga
Gary Kettel
Robert King
Steven Kofsky
Peter Lale
Abhay Manusmare
Hugh Marsh
Alan Meyerson
Evelyn Morgan
Evelyn de Morgan
David Novik
Jenny O'Grady
Dan Pinder
Anthony Pleeth
Hila Plitmann
Graham Preskett
Graham Preskett
Michael Price
Frank Ricotti
Mary Scully
Jonathan Snowden
Tony Stanton
Louie Teran
David Theodore
Martin Tillman
Lia Vollack
Richard Watkins
Mel Wesson
Gavyn Wright
Andrew Zack
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Lorne Balfe
Chris Barrett
Paul Broucek
Charles Dumont
Matt Dunkley
Richard Edwards
Elizabeth Finch
Bruce Fowler
Walt Fowler
Alex Gibson
Rick Giovinazzo
Gavin Greenaway
Isobel Griffiths
Mike Higham
Darren Higman
Mark Holley
Mark Holley
Kevin Kaska
Peter Lale
Jason Linn
Lisa Margolis
Johnny Marr
Perry Montague-Mason
Suzette Moriarty
Allison Moseley
Ed Neumeister
Christopher Nolan
Anthony Pleeth
Jamie Roberts
Ryan Rubin
Czarina Russell
Carl Rydlund
Howard Scarr
Mary Scully
Shalini Singh
Owen Slade
Dave Stewart
Jill Streeter
Pat Sullivan
Michel Vaucaire
Stephen Vaughan
Richard Watkins
Booker White
Andrew Zack
Hans Zimmer
Hans Zimmer
Hans Zimmer
Hans Zimmer
Emio Zizza
"Salmm ""Scallywag"" Andrew"
"Salmm ""Scallywag"" Andrew"
Slamm Andrews
Slamm Andrews
Bob Badami
Bob Badami
Klaus Badelt
Klaus Badelt
Klaus Badelt
Chris Barrett
Jeff Biggers
"Jeff ""Bucko"" Biggers"
Christopher Brooks
Christopher S. Brooks
Jerry Bruckheimer
Allison Wright Clark
"Allison Wright ""The Interceptor"" Clark"
Sandy De Crescent
Sandy De Crescent
Ramin Djawadi
Seth Dockstader
James Dooley
Jim Dooley
Robert Elhai
Elizabeth Finch
Geoff Foster
Bruce Fowler
Bruce Fowler
Walt Fowler
Marc Gebauer
Nick Glennie-Smith
Isobel Griffiths
"Bart ""The Original Black Bart"" Henderson"
Bart Hendrickson
Hollywood Studio Symphony
Nick Ingman
Steve Jablonsky
Jake Jackson
Kenneth Karman
Ken Karmen
Danny Kuramoto
Glen Lajeski
Tim Lauber
Mitchell Leib
Bill Liston
Mal Luker
Malcolm Luker
Bettina Lynch
Bruce Maddocks
Dave Marquette
Ladd McIntosh
Alan Meyerson
Alan Meyerson
Suzette Moriarty
Melissa Muik
"Melissa ""Tortuga Wench"" Muik"
Moanike'ala Nakamoto
Moanikeala Nakamoto
Blake Neely
Blake Neely
Jenny O'Grady
Heitor Teixeira Pereira
Dan Pinder
Conrad Pope
Emil Richards
Stacey Robinson
John Rodd
Fred Selden
Jay Selvester
Gregg Silk
Gregg W. Silk
James McKee Smith
Kristen Smith
Tom Steel
Steve Sterling
Jeanette Surga
Jeannette Surga
Bill Talbott
Damon Tedesco
Martin Tillman
Tom Vedvik
Brad Warnaar
Rick Wentworth
Mel Wesson
Mark Wherry
Booker White
Rob Williams
Nick Wollage
Geoff Zanelli
Monica Zierhut
Hans Zimmer
Hans Zimmer
Hans Zimmer
Slamm Andrews
Pete Anthony
Bob Badami
Bob Badami
Bob Badami
Klaus Badelt
Lorne Balfe
Jeff Biggers
"Jeff ""Bucko"" Biggers"
Thomas Broderick
Jerry Bruckheimer
Al Clay
Big Al Clay
Delores Clay
Bryan Clements
Sandy De Crescent
Mark Eshelman
Geoff Foster
Bruce Fowler
Marc Gebauer
