Sen. Lisa Murkowski [R-AK]
Sen. Mark Begich [D-AK]
Rep. Don Young [R-AK0]
"Sen. Jefferson ""Jeff"" Sessions [R-AL]"
Sen. Richard Shelby [R-AL]
Rep. Terri Sewell [D-AL7]
Rep. Mo Brooks [R-AL5]
Rep. Martha Roby [R-AL2]
Rep. Mike Rogers [R-AL3]
Rep. Spencer Bachus [R-AL6]
Rep. Robert Aderholt [R-AL4]
Sen. John Boozman [R-AR]
Sen. Mark Pryor [D-AR]
Rep. Tom Cotton [R-AR4]
Rep. Steve Womack [R-AR3]
Rep. Tim Griffin [R-AR2]
"Rep. Eric ""Rick"" Crawford [R-AR1]"
Del. Eni Faleomavaega [D-AS0]
Sen. John McCain [R-AZ]
Rep. Kyrsten Sinema [D-AZ9]
Rep. Ron Barber [D-AZ2]
Rep. David Schweikert [R-AZ6]
Rep. Paul Gosar [R-AZ4]
Rep. Ann Kirkpatrick [D-AZ1]
Rep. Matt Salmon [R-AZ5]
Rep. Ed Pastor [D-AZ7]
Rep. Raul Grijalva [D-AZ3]
Rep. Trent Franks [R-AZ8]
Sen. Jeff Flake [R-AZ]
Sen. Barbara Boxer [D-CA]
Rep. Scott Peters [D-CA52]
Rep. Juan Vargas [D-CA51]
Rep. Alan Lowenthal [D-CA47]
Rep. Mark Takano [D-CA41]
Rep. Raul Ruiz [D-CA36]
Rep. Gloria Negrete McLeod [D-CA35]
Rep. Tony Cardenas [D-CA29]
Rep. Julia Brownley [D-CA26]
Rep. David Valadao [R-CA21]
Rep. Eric Swalwell [D-CA15]
Rep. Paul Cook [R-CA8]
Rep. Ami Bera [D-CA7]
Rep. Jared Huffman [D-CA2]
Rep. Doug LaMalfa [R-CA1]
Rep. Janice Hahn [D-CA44]
Rep. Karen Bass [D-CA37]
Rep. Jeff Denham [R-CA10]
Rep. John Garamendi [D-CA3]
Rep. Judy Chu [D-CA27]
Rep. Tom McClintock [R-CA4]
Rep. Duncan Hunter [R-CA50]
Rep. Jackie Speier [D-CA14]
Rep. Kevin McCarthy [R-CA23]
Rep. Jerry McNerney [D-CA9]
Rep. John Campbell [R-CA45]
Rep. Doris Matsui [D-CA6]
Rep. Jim Costa [D-CA16]
Sen. Dianne Feinstein [D-CA]
Rep. Henry Waxman [D-CA33]
Rep. Maxine Waters [D-CA43]
Rep. Mike Thompson [D-CA5]
Rep. Brad Sherman [D-CA30]
Rep. Adam Schiff [D-CA28]
Rep. Loretta Sanchez [D-CA46]
Rep. Linda Sanchez [D-CA38]
"Rep. Edward ""Ed"" Royce [R-CA39]"
Rep. Lucille Roybal-Allard [D-CA40]
Rep. Dana Rohrabacher [R-CA48]
Rep. Nancy Pelosi [D-CA12]
Rep. Devin Nunes [R-CA22]
Rep. Grace Napolitano [D-CA32]
