"November, 1994"
"May, 1995"
"September, 1994"
"April, 1965"
"September, 1997"
"August, 1962"
"December, 1978"
"July, 1985"
"June, 1956"
"May-68"
"August, 1969"
"April, 1967"
"December, 1992"
"September, 1978"
"September, 2001"
"July, 2004"
"July, 2002"
"Early October, 1989"
"February, 1976"
"1993"
"1992"
"May, 2004"
"July, 1983"
"Late September, 1989"
"February, 2005"
"December, 1975"
"March, 1993"
"1994"
"June, 1962"
"1981"
"May, 1984"
"May, 1968"
"October, 2006"
"August, 1997"
"November, 2004"
"March, 1982"
"January, 2003"
"December, 1995"
"April, 2006"
"November, 1996"
"November, 2000"
"January, 1992"
"January, 1999"
"December, 1970"
"December, 1980"
"December, 1995"
"1993"
"September, 1975"
"1986"
"December, 1980"
"August, 1996"
"December, 1976"
"August, 2002"
"2001"
"January, 1996"
"September, 2004"
"January, 1995"
"January, 1992"
"February, 1971"
"August, 2005"
"March, 1999"
"December, 1973"
"August, 1980"
"Dec-97"
"March, 1974"
"November, 1975"
"1986"
"August, 1994"
"October, 1993"
"January, 1972"
"February, 1996"
"1998"
"Netherlands, 1989"
"August, 1994"
"April, 1973"
"August, 1980"
"1975"
"February, 2008"
"Dec-90"
"1982"
"April, 1986"
"July, 1996"
"January, 2004"
"December, 2002"
"October, 1998"
"May-93"
"November, 1992"
"1977"
"August, 1994"
"May, 1993"
"1995"
"January, 1999"
"November, 1979"
"February, 1995"
"November, 1995"
"December, 1984"
"March, 1964"
"December, 1993"
"January, 2000"
"January, 1992"
"March, 1994"
"December, 1998"
"August, 1994"
"September, 1973"
"July, 1997"
"January, 1976"
"July, 1987"
"October, 1991"
"January, 2006"
"March, 1996"
"August, 1977"
"March, 1999"
"June, 1993"
"April, 2006"
"Dec-81"
"November, 1995"
"January, 1969"
"October, 1970"
"July, 1959"
"December, 1996"
"March, 1963"
"December, 1977"
"October, 1999"
"February, 1968"
"December, 1968"
"April, 1966"
"September, 1969"
"October, 1969"
"November, 1993"
"October, 1966"
"Dec, 1956"
"December, 1975"
"July, 2003"
"August, 1962"
"Jan-81"
"November, 1973"
"September, 1977"
"May, 2004"
"June, 1986"
"September, 1991"
"1991"
"August, 1994"
"1995"
"August, 2002"
"December, 1973"
"February, 1974"
"February, 1996"
"October, 1964"
"December, 1964"
"Jul-74"
"May, 1978"
"July, 1960"
"June, 1981"
"October, 1994"
"March, 1974"
"January, 1981"
"May, 1997"
"April, 1968"
"March, 1959"
"April, 1976"
"spring, 1944"
"May, 1960"
"June, 1967"
"Jan-78"
"June, 1981"
"September, 1982"
"July, 1994"
"April, 1997"
"July, 1977"
"February, 1996"
"April, 1966"
"1996"
"June, 1994"
"August, 1972"
"February, 1970"
"August, 1973"
