Angel Bossio
Juan Botasso
Roberto Cherro
Alberto Chividini
Juan Evaristo
Mario Evaristo
Manuel Ferreira
Luis Monti
Rodolfo Orlandini
Fernando Paternoster
Natalio Perinetti
Carlos Peucelle
Edmundo Piaggio
Alejandro Scopelli
Carlos Spadaro
Francisco Varallo
Adolfo Zumelz
Juan Aguilera (footballer)
Guillermo Arellano
Ernesto Chaparro
Arturo Coddou
Humberto Elgueta
Cesar Espinoza
Ulises Poirier
Guillermo Riveros
Guillermo Saavedra (footballer)
Carlos Schneeberger
Guillermo Subiabre
Arturo Torres Carrasco
Casimiro Torres
Carlos Vidal
Eberardo Villalobos
Numa Andoire
Marcel Capelle
Augustin Chantrel
Edmond Delfour
Marcel Langiller
Jean Laurent
Lucien Laurent
Marcel Pinel
Alexandre Villaplane
Oscar Bonfiglio
Jess Castro (footballer)
Felipe Olivares
Felipe Rosas
Manuel Rosas
Isidoro Sota
Ivan Bek
Branislav Hrnjiek
Abraham Patusca da Silveira
Benedicto de Moraes Menezes
Alfredo Brilhante da Costa
Carvalho Leite
Fausto dos Santos
Fernando Guidicelli
Agostinho Fortes Filho
Luiz Gervazoni
Ivan Mariz
Joel de Oliveira Monteiro
Manoel de Aguiar Fagundes
Moderato Wisintainer
Nilo Murtinho Braga
Oscarino Costa Silva
Estanislau de Figueiredo Pamplona
Policarpo Ribeiro de Oliveira
Preguinho
Moacyr Siqueira de Queiroz
Osvaldo Velloso de Barros
Mario Alborta
Juan Argote
Jess Bermdez
Miguel Brito
Segundo Durandal
Miguel Murillo (Bolivian footballer)
Constantino Noya
Jorge Valderrama
Peregrino Anselmo
Enrique Ballestrero
Juan Carlos Calvo
Miguel Capuccini
Pedro Cea
Pablo Dorado
lvaro Gestido
Santos Iriarte
Ernesto Mascheroni
ngel Melogno
Pedro Petrone
Emilio Recoba
Carlos Riolfo
Zoilo Saldombide
Domingo Tejera
tefan Barbu
Iosif Czako
Adalbert Deu
Alfred Eisenbeisser
Ion Lpuneanu
Ladislau Raffinsky
Corneliu Robe
Constantin Stanciu
Adalbert Steiner
Ilie Subeanu
Emerich Vogl
Rudolf Wetzer
Samuel Zauber
Eduardo Astengo
Mario de las Casas
Alberto Denegri
Julio Lores
Demetrio Neyra
Pablo Pacheco
