"University of Pennsylvania, Phialdelphia, PA, USA"
"UCLA,Los Angeles, CA"
"Penn,Philadelphia, PA, USA"
"University of Maryland College Park, College Park, MD, USA"
"UC Berkeley, Berkeley, CA, USA"
"MIT,Cambridge, MA"
"Rice University,Houston, TX"
"Yale University, New Haven, CT, USA"
"Columbia University, New York, NY, USA"
"NYU, New York, New York, USA"
"Temple University, Philadelphia, PA, USA"
"Harvard University,Cambridge, MA, USA"
"University of Connecticut,Storrs, CT, USA"
"New Haven University,New Haven, CT, USA"
"University of California, Santa Barbara, Santa Barbara, CA, USA"
