"University of Pennsylvania,Phialdelphia, PA, USA"
"UCLA,Los Angeles, CA"
"Ithaca, NY, USA"
"Ann Arbor, MI, USA"
"UC Berkeley,Berkeley, CA"
"Cambridge, MA, USA"
"Rice University,Houston, TX"
"Yale University,New Haven, CT, USA"
"Columbia University,New York, NY, USA"
"NYU,New York, New York, USA"
"UC Berkeley,Berkeley, CA"
"Temple University,Philadelphia, PA"
"Cambridge, MA, USA"
"University of Connecticut,Storrs, CT, USA"
"Philadelphia, PA, USA"
"University of California, Santa Barbara,Santa Barbara, CA, USA"
